Ref,Val,Package,PosX,PosY,Rot,Side
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",97.750000,-77.500000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",116.155000,-78.045000,0.000000,top
